Aino Ainon Ainoa Ainona Ainoon Ainojen Ainoja Ainoina Ainoissa Ainoihin

tunti tunnin tuntia tuntina tuntiin tuntien tunteja tunteina tunneissa tunteihin

äiti äidin äitiä äitinä äitiin äitien äitejä äiteinä äideissä äiteihin

tähti tähden tähteä tähtenä tähteen tähtien tähtiä tähtinä tähdissä tähtiin

puhelin puhelimen puhelinta puhelimena puhelimeen puhelimien puhelimia puhelimina puhelimissa puhelimiin

kuuloke kuulokkeen kuuloketta kuulokkeena kuulokkeeseen kuulokkeiden kuulokkeita kuulokkeina kuulokkeissa kuulokkeisiin

numero numeron numeroa numerona numeroon numerojen numeroja numeroina numeroissa numeroihin

kulta kullan kultaa kultana kultaan kultien kultia kultina kullissa kultiin

hame hameen hametta hameena hameeseen hameiden hameita hameina hameissa hameisiin

pelle pellen pelleä pellenä pelleen pellien pellejä pelleinä pelleissä pelleihin

seinä seinän seinää seinänä seinään seinien seiniä seininä seinissä seiniin

helma helman helmaa helmana helmaan helmojen helmoja helmoina helmoissa helmoihin

paikka paikan paikkaa paikkana paikkaan paikkojen paikkoja paikkoina paikoissa paikkoihin

Nyytti Nyytin Nyyttiä Nyyttinä Nyyttiin Nyyttien Nyyttejä Nyytteinä Nyyteissä Nyytteihin

työ työn työtä työnä työhön töiden töitä töinä töissä töihin

lauta laudan lautaa lautana lautaan lautojen lautoja lautoina laudoissa lautoihin

rosvo rosvon rosvoa rosvona rosvoon rosvojen rosvoja rosvoina rosvoissa rosvoihin

kivi kiven kiveä kivenä kiveen kivien kiviä kivinä kivissä kiviin

eläin eläimen eläintä eläimenä eläimeen eläimien/eläinten eläimiä eläiminä eläimissä eläimiin

kangas kankaan kangasta kankaana kankaaseen kankaiden kankaita kankaina kankaissa kankaisiin

tukka tukan tukkaa tukkana tukkaan tukkien tukkia tukkina tukissa tukkiin

kirja kirjan kirjaa kirjana kirjaan kirjojen kirjoja kirjoina kirjoissa kirjoihin

alku alun alkua alkuna alkuun alkujen alkuja alkuina aluissa alkuihin

loppu lopun loppua loppuna loppuun loppujen loppuja loppuina lopuissa loppuihin

syy syyn syytä syynä syyhyn syiden syitä syinä syissä syihin

kiire kiireen kiirettä kiireenä kiireeseen kiireiden kiireitä kiireinä kiireissä kiireisiin

ilta illan iltaa iltana iltaan iltojen iltoja iltoina illoissa iltoihin

ystävä ystävän ystävää ystävänä ystävään ystävien ystäviä ystävinä ystävissä ystäviin

teatteri teatterin teatteria teatterina teatteriin teatterien teattereja teattereina teattereissa teattereihin

ravintola ravintolan ravintolaa ravintolana ravintolaan ravintoloiden ravintoloita ravintoloina ravintoloissa ravintoloihin

suuttumus suuttumuksen suuttumusta suuttumuksena suuttumukseen suuttumusten suuttumuksia suuttumuksina suuttumuksissa suuttumuksiin

laukku laukun laukkua laukkuna laukkuun laukkujen laukkuja laukkuina laukuissa laukkuihin

pussi pussin pussia pussina pussiin pussien pusseja pusseina pusseissa pusseihin

puikko puikon puikkoa puikkona puikkoon puikkojen puikkoja puikkoina puikoissa puikkoihin

rasia rasian rasiaa rasiana rasiaan rasioiden rasioita rasioina rasioissa rasioihin

takki takin takkia takkina takkiin takkien takkeja takkeina takeissa takkeihin

kielto kiellon kieltoa kieltona kieltoon kieltojen kieltoja kieltoina kielloissa kieltoihin

käsi käden kättä kätenä käteen käsien käsiä käsinä käsissä käsiin

isä isän isää isänä isään isien isiä isinä isissä isiin

Veikka Veikan Veikkaa Veikkana Veikkaan Veikkojen Veikkoja Veikkoina Veikoissa Veikkoihin

itku itkun itkua itkuna itkuun itkujen itkuja itkuina itkuissa itkuihin

hetki hetken hetkeä hetkenä hetkeen hetkien hetkiä hetkinä hetkissä hetkiin

ihminen ihmisen ihmistä ihmisenä ihmiseen ihmisten ihmisiä ihmisinä ihmisissä ihmisiin

elämä elämän elämää elämänä elämään elämien elämiä eläminä elämissä elämiin

viikko viikon viikkoa viikkona viikkoon viikkojen viikkoja viikkoina viikoissa viikkoihin

Oula Oulan Oulaa Oulana Oulaan Oulien Oulia Oulina Oulissa Ouliin

kutsu kutsun kutsua kutsuna kutsuun kutsujen kutsuja kutsuina kutsuissa kutsuihin

juhla juhlan juhlaa juhlana juhlaan juhlien juhlia juhlina juhlissa juhliin

hiipivä hiipivän hiipivää hiipivänä hiipivään hiipivien hiipiviä hiipivinä hiipivissä hiipiviin

sulka sulan sulkaa sulkana sulkaan sulkien sulkia sulkina sulissa sulkiin

päivä päivän päivää päivänä päivään päivien päiviä päivinä päivissä päiviin

valmistelu valmistelun valmistelua valmisteluna valmisteluun valmistelujen valmisteluja valmisteluina valmisteluissa valmisteluihin

paketti paketin pakettia pakettina pakettiin pakettien paketteja paketteina paketeissa paketteihin

